"","principal_eigenvalue","asymmetry","peakedness","eigengap.modalities","Summary_tree","Model"
"1",9012.14377632394,-0.0375321670312314,2.02443477836235,457,"MCC","Null"
"2",7067.89512484487,-0.149677065312861,1.90383841230687,458,"MRC","Null"
"3",10496.7994037263,0.321115854938647,6.352707042432,907,"MCC","Population Null"
"4",3335.52328311379,-0.00789067410499873,1.54995126378495,288,"MRC","Population Null"
"5",9034.71662145016,-0.0294853376889926,2.03495585244901,457,"MCC","Null"
"6",6594.85395643045,-0.20181037331626,1.96445069583384,1,"MRC","Null"
"7",9083.58970033266,0.270830613366694,4.16332846296334,406,"MCC","Population Null"
"8",1774.83242220575,1.00751182601787,2.54591015746158,128,"MRC","Population Null"
"9",9044.02135748364,-0.0303660084784267,2.0277139792851,457,"MCC","Null"
"10",6637.80836333846,-0.187203187219715,1.94288170560556,1,"MRC","Null"
"11",9085.29477378289,0.270295445290438,4.16943115554425,1,"MCC","Population Null"
"12",1791.10301166706,1.0021536954214,2.55193930625437,129,"MRC","Population Null"
"13",9075.07771645288,-0.0283986077806692,2.0288660631754,1,"MCC","Null"
"14",6585.96317956462,-0.202807190216267,1.94450877597556,1,"MRC","Null"
"15",9085.37038170717,0.27013815471441,4.16274650295175,1,"MCC","Population Null"
"16",1783.2301235214,0.995997512006866,2.56069001332513,129,"MRC","Population Null"
"17",9009.05156823866,-0.0311588525950206,2.03146131701109,2,"MCC","Null"
"18",6654.56503521736,-0.18778577600126,1.94580149380286,1,"MRC","Null"
"19",9082.69162970085,0.269730563495431,4.14152340512539,406,"MCC","Population Null"
"20",1775.49003409815,1.00725592156767,2.54541594097757,128,"MRC","Population Null"
"21",9085.03667412441,-0.0290859406746862,2.02165036605108,1,"MCC","Null"
"22",6626.22867779079,-0.19328574204908,1.93961544393444,2,"MRC","Null"
"23",9082.92220859638,0.270515552395058,4.17227423967613,1,"MCC","Population Null"
"24",1779.01590826189,1.01008991452809,2.54114500209598,128,"MRC","Population Null"
"25",8935.17498049225,-0.0285478976095728,2.03828403613874,457,"MCC","Null"
"26",6646.51722785783,-0.191466752335121,1.94907263791735,1,"MRC","Null"
"27",9086.19526735292,0.269748479891264,4.16112889346308,1,"MCC","Population Null"
"28",1779.48584799264,1.01031601028435,2.54117513566078,128,"MRC","Population Null"
"29",8944.59194304094,-0.0289299097236656,2.02480703393889,457,"MCC","Null"
"30",6673.16944377336,-0.181855239155785,1.92831321894079,1,"MRC","Null"
"31",9085.06393842977,0.270449941191519,4.16530506973797,1,"MCC","Population Null"
"32",1787.74998318711,0.99914636423282,2.55743019896606,129,"MRC","Population Null"
"33",9118.18485163008,-0.0295758523461934,2.02628040464299,1,"MCC","Null"
"34",6685.7499413791,-0.180786046818759,1.93853796773815,2,"MRC","Null"
"35",9087.37009513777,0.270278015402092,4.14688105092287,1,"MCC","Population Null"
"36",1772.74018460186,1.00442824788914,2.55092764351062,128,"MRC","Population Null"
"37",9117.72355966539,-0.0302725050216597,2.03377090516201,1,"MCC","Null"
"38",6592.28432608288,-0.200558517909969,1.96411388924383,456,"MRC","Null"
"39",9085.66448159913,0.27023001126037,4.15091834417706,1,"MCC","Population Null"
"40",1780.64181148536,1.0105353277103,2.54179387621295,128,"MRC","Population Null"
"41",8990.9160146647,-0.0287481679366476,2.0283918797638,457,"MCC","Null"
"42",6605.21984902379,-0.194788062500688,1.95547830398778,1,"MRC","Null"
"43",9082.55623286733,0.269558168508428,4.14941799720206,1,"MCC","Population Null"
"44",1779.42717862666,1.01049417824614,2.54154521557261,128,"MRC","Population Null"
"45",9027.59971821346,-0.031708183262992,2.02986592851224,1,"MCC","Null"
"46",6599.97783109481,-0.200440316730638,1.94454524089306,456,"MRC","Null"
"47",9083.01744338906,0.27021379863898,4.16837849236477,1,"MCC","Population Null"
"48",1773.24342200847,1.00723633699199,2.54578734378724,128,"MRC","Population Null"
"49",9141.98337766416,-0.0314269771841719,2.02948687366949,1,"MCC","Null"
"50",6635.14022470849,-0.194784756804511,1.94339619934228,1,"MRC","Null"
"51",9086.56219174089,0.270741728718688,4.14672023171469,406,"MCC","Population Null"
"52",1781.53968586449,1.01051084169338,2.54193399171521,128,"MRC","Population Null"
"53",9075.94195093119,-0.0298562845216829,2.02020042683258,1,"MCC","Null"
"54",6653.97657124952,-0.189866844306693,1.95338223103898,1,"MRC","Null"
"55",9083.86434169841,0.270021275636089,4.15291872886055,406,"MCC","Population Null"
"56",1781.62396739481,1.01048087927211,2.5420720262565,128,"MRC","Population Null"
"57",9109.92618987816,-0.0275204186978041,2.02781189974125,1,"MCC","Null"
"58",6657.86550755122,-0.186823641355114,1.95263306618562,1,"MRC","Null"
"59",9084.15450179156,0.269821215929757,4.15144696986022,1,"MCC","Population Null"
"60",1775.39436858425,1.01041056130661,2.54125938341172,128,"MRC","Population Null"
"61",9014.26553154392,-0.0305107140717736,2.02564663860384,1,"MCC","Null"
"62",6648.73065222038,-0.187538554183296,1.93135104598348,1,"MRC","Null"
"63",9085.03443504698,0.270808353978432,4.15108284438065,1,"MCC","Population Null"
"64",1772.70452067295,1.00704327576515,2.54563855821951,128,"MRC","Population Null"
"65",9069.02162255853,-0.0269171087394846,2.02090596914121,1,"MCC","Null"
"66",6628.07980195876,-0.190293565732103,1.94108961036733,2,"MRC","Null"
"67",9083.90537422039,0.270777645263052,4.1727789887979,1,"MCC","Population Null"
"68",1771.61869666983,1.00437071838156,2.55047675206008,128,"MRC","Population Null"
"69",9038.55567120727,-0.0294893992990247,2.03560131395614,1,"MCC","Null"
"70",6654.51475512448,-0.188119658497896,1.9492736096789,2,"MRC","Null"
"71",9082.30151985499,0.269288062937567,4.14344588286196,406,"MCC","Population Null"
"72",1788.45045700382,0.99919232550682,2.55675035373825,129,"MRC","Population Null"
"73",9073.75075307722,-0.0300088599362217,2.01871288361289,1,"MCC","Null"
"74",6580.98709646789,-0.20507063593317,1.95307836106693,1,"MRC","Null"
"75",9086.2292072945,0.270017205534211,4.13938544061206,1,"MCC","Population Null"
"76",1774.50347779701,1.00727581138712,2.54576919445345,128,"MRC","Population Null"
"77",9190.83767365241,-0.0262805853321069,2.01671745571568,1,"MCC","Null"
"78",6682.34742719911,-0.178972307919567,1.93370244089248,2,"MRC","Null"
"79",9082.87646641005,0.270342719512779,4.17774135668446,1,"MCC","Population Null"
"80",1788.48844872612,0.999122608092866,2.55683978972298,129,"MRC","Population Null"
"81",9024.9902574846,-0.0314604043122823,2.02429189410574,1,"MCC","Null"
"82",6619.86561291186,-0.19499208325139,1.95707944816855,1,"MRC","Null"
"83",9084.59254409648,0.26955069164437,4.1507576497975,1,"MCC","Population Null"
"84",1775.27070752142,1.0041885024834,2.54990456824503,128,"MRC","Population Null"
"85",9181.43475663855,-0.0273345814926853,2.01440746951768,1,"MCC","Null"
"86",6561.2369347063,-0.198222809890844,1.94250861575692,456,"MRC","Null"
"87",9086.29322376433,0.270679990778063,4.17933779681951,1,"MCC","Population Null"
"88",1774.11436981903,1.01028158042161,2.54103908828417,128,"MRC","Population Null"
"89",9009.59006153975,-0.0303326621933219,2.0339454064213,457,"MCC","Null"
"90",6631.43489748268,-0.19066525285202,1.94217985331003,1,"MRC","Null"
"91",9082.67245436472,0.269620607336532,4.14163402507393,406,"MCC","Population Null"
"92",1786.67432791928,0.9993262580595,2.55689539861974,129,"MRC","Population Null"
"93",9121.9591950466,-0.0298123886416446,2.03884223936622,1,"MCC","Null"
"94",6660.65562944656,-0.184860534713047,1.94346679831073,1,"MRC","Null"
"95",9084.266985781,0.269179724068343,4.16239376221719,1,"MCC","Population Null"
"96",1778.4239943408,1.01020180790154,2.54070254019192,128,"MRC","Population Null"
"97",9086.43822214183,-0.0276299368607868,2.01404370772298,1,"MCC","Null"
"98",6707.93377357175,-0.179969501888097,1.93121566883729,456,"MRC","Null"
"99",9084.56257340509,0.270206094151216,4.16914508851633,406,"MCC","Population Null"
"100",1780.133006142,1.01044719245585,2.54146511621504,128,"MRC","Population Null"
"101",9150.11345996078,-0.0259495374700879,2.01817610355492,1,"MCC","Null"
"102",6645.51226185204,-0.190596300198123,1.93384233514215,2,"MRC","Null"
"103",9083.98675318621,0.270312667918129,4.17178940716304,1,"MCC","Population Null"
"104",1771.72168286558,1.00440477676851,2.55068378292965,128,"MRC","Population Null"
"105",8975.46068137507,-0.0301753310218398,2.03352284006077,457,"MCC","Null"
"106",6673.30827481799,-0.187762955055768,1.93169428855434,1,"MRC","Null"
"107",9083.37082671749,0.270439429089663,4.14633163970603,1,"MCC","Population Null"
"108",1775.20037438828,1.00738259049352,2.54695878002728,128,"MRC","Population Null"
"109",9124.73303316468,-0.0306484629533474,2.02954409844114,1,"MCC","Null"
"110",6686.50801542522,-0.187299032984218,1.93924210093812,1,"MRC","Null"
"111",9085.55607751222,0.270108048674822,4.1470131833337,406,"MCC","Population Null"
"112",1778.82039285385,1.01060924784216,2.54126086110964,128,"MRC","Population Null"
"113",9069.01970745747,-0.0268199226878374,2.02115570139743,1,"MCC","Null"
"114",6634.7480225818,-0.192756852465652,1.94579126511934,456,"MRC","Null"
"115",9082.5882412875,0.269347831134928,4.15985906104408,1,"MCC","Population Null"
"116",1779.6284888903,1.01059349284428,2.54155153522878,128,"MRC","Population Null"
"117",9070.71496650073,-0.029442101112459,2.02735893567963,457,"MCC","Null"
"118",6653.30391300596,-0.190807549875999,1.95208228417307,1,"MRC","Null"
"119",9081.19645932664,0.26942946350737,4.15991321559188,1,"MCC","Population Null"
"120",1793.12531335751,1.00499387019592,2.54804337641666,129,"MRC","Population Null"
"121",9054.51681431833,-0.0315523530221988,2.03646725754419,457,"MCC","Null"
"122",6651.83981282263,-0.185935302214159,1.94474619127703,2,"MRC","Null"
"123",9083.12410194375,0.270219775331603,4.13916366007801,1,"MCC","Population Null"
"124",1772.04694625702,1.00423170807647,2.55078890323612,128,"MRC","Population Null"
"125",9132.73432186632,-0.0306142645723424,2.03167699035704,1,"MCC","Null"
"126",6622.59339466412,-0.196084978348268,1.96160020358074,1,"MRC","Null"
"127",9083.83679759418,0.27012445448134,4.14382124390032,1,"MCC","Population Null"
"128",1771.72042293525,1.00430176723891,2.55023589244022,128,"MRC","Population Null"
"129",9013.10104616804,-0.0293198570761398,2.02819360926815,457,"MCC","Null"
"130",6604.8501295771,-0.195336221408342,1.95232480122182,1,"MRC","Null"
"131",9079.06855890711,0.269676744452097,4.15727291382845,1,"MCC","Population Null"
"132",1781.49150695203,1.01053298193441,2.54238248668793,128,"MRC","Population Null"
"133",9130.9198355943,-0.0268708412820031,2.02426761883968,1,"MCC","Null"
"134",6635.854743188,-0.189828756277769,1.94954483047622,456,"MRC","Null"
"135",9089.83021214423,0.270347205577754,4.13758041703432,406,"MCC","Population Null"
"136",1792.84340061364,1.00198852841167,2.55232828504267,129,"MRC","Population Null"
"137",9121.76308605908,-0.0288126225056633,2.03776054021909,457,"MCC","Null"
"138",6638.7270013877,-0.182972886884753,1.93059410088221,1,"MRC","Null"
"139",9084.73508745102,0.269668510610742,4.14356517263953,406,"MCC","Population Null"
"140",1773.16812513443,1.00747535257901,2.54569484754471,128,"MRC","Population Null"
"141",9041.88525658068,-0.0303520023167854,2.02164736551129,457,"MCC","Null"
"142",6626.90153818806,-0.183121223851629,1.93103985182752,456,"MRC","Null"
"143",9084.29242447687,0.269710067282843,4.1502598204646,406,"MCC","Population Null"
"144",1779.61825964922,1.01056389155876,2.5417317375217,128,"MRC","Population Null"
"145",9215.25802515338,-0.0269768812862131,2.01174133195544,1,"MCC","Null"
"146",6599.04689602347,-0.208192175505365,1.97173668832805,1,"MRC","Null"
"147",9081.82401782398,0.269206119066882,4.14541477522732,406,"MCC","Population Null"
"148",1789.71061113724,1.00197085960049,2.5526734078008,129,"MRC","Population Null"
"149",9134.13027742287,-0.0290645350188852,2.02584201529908,1,"MCC","Null"
"150",6717.31594812166,-0.166189093623947,1.89853120507948,2,"MRC","Null"
"151",9085.82757869039,0.269777819722029,4.1506746025964,406,"MCC","Population Null"
"152",1774.97916835338,1.00758130950054,2.5462152340956,128,"MRC","Population Null"
"153",8982.33420388519,-0.0334134175465732,2.04550276568065,457,"MCC","Null"
"154",6664.43887823587,-0.187893936062378,1.94513569966461,1,"MRC","Null"
"155",9086.14848589118,0.270572778717151,4.17041089844572,1,"MCC","Population Null"
"156",1777.07343775873,1.01026945897567,2.54116474988544,128,"MRC","Population Null"
"157",8996.34291461321,-0.0286546249026375,2.01734922370813,1,"MCC","Null"
"158",6601.30996494146,-0.195753283648205,1.9399250938423,456,"MRC","Null"
"159",9083.00650155199,0.270724040078748,4.15938946604215,1,"MCC","Population Null"
"160",1773.26670055468,1.00735250362618,2.5466886806024,128,"MRC","Population Null"
"161",9050.8722179181,-0.0292489035589143,2.03574927299468,457,"MCC","Null"
"162",6605.24163642681,-0.199232902942748,1.95659795182544,1,"MRC","Null"
"163",9083.76813399738,0.270303862760863,4.15068410177781,406,"MCC","Population Null"
"164",1776.58650178095,1.00726536919758,2.5459191744335,128,"MRC","Population Null"
"165",9048.51178562118,-0.028993911850574,2.02718423415659,1,"MCC","Null"
"166",6591.06985395302,-0.206343065339465,1.97979598521066,1,"MRC","Null"
"167",9083.40262560838,0.269933978931461,4.15365942194672,406,"MCC","Population Null"
"168",1774.13341534006,1.00739298879646,2.54554541236469,128,"MRC","Population Null"
"169",9066.0955170549,-0.0286667803319603,2.01980795439468,1,"MCC","Null"
"170",6664.32045091924,-0.190000804595011,1.93453042203436,1,"MRC","Null"
"171",9080.67347318069,0.269191886754477,4.14020619252701,406,"MCC","Population Null"
"172",1780.73729697015,1.01052360073561,2.54251824460664,128,"MRC","Population Null"
"173",9075.28065654771,-0.0282312926243672,2.02832130601697,1,"MCC","Null"
"174",6677.45903358881,-0.183236880662322,1.93937933572651,1,"MRC","Null"
"175",9085.72564652578,0.269510557452338,4.15257368819524,1,"MCC","Population Null"
"176",1777.25031447317,1.00724161040175,2.5454265870415,128,"MRC","Population Null"
"177",9074.36102307217,-0.0305983776396748,2.0351274685628,1,"MCC","Null"
"178",6655.52027209549,-0.185729792668155,1.92892738667015,1,"MRC","Null"
"179",9083.95689226478,0.270397954338221,4.16855992401103,1,"MCC","Population Null"
"180",1777.94195021725,1.01033417157464,2.54128945366771,128,"MRC","Population Null"
"181",9057.12752742773,-0.029999009740676,2.03484263519909,457,"MCC","Null"
"182",6598.45522343095,-0.19705801690009,1.93622238460021,456,"MRC","Null"
"183",9085.12526672929,0.269756049261795,4.15082981549553,1,"MCC","Population Null"
"184",1775.58114632602,1.00710759821077,2.54643248359045,128,"MRC","Population Null"
"185",8995.6538592331,-0.0295237621371769,2.03299708681171,1,"MCC","Null"
"186",6632.42614770017,-0.197436606705749,1.93888265627329,1,"MRC","Null"
"187",9081.5624251785,0.269569190918244,4.15022612716783,406,"MCC","Population Null"
"188",1778.23359937775,1.01051780219314,2.5414997565996,128,"MRC","Population Null"
"189",9052.94778213444,-0.0290974544181741,2.02184307995234,1,"MCC","Null"
"190",6602.27321456468,-0.201422407151986,1.94716141282233,1,"MRC","Null"
"191",9084.88564818022,0.26968483060355,4.14561696287808,406,"MCC","Population Null"
"192",1779.1405439922,1.01038708686225,2.5411472581038,128,"MRC","Population Null"
"193",9150.92014573212,-0.0276332581409148,2.02137555222805,1,"MCC","Null"
"194",6683.20529784827,-0.18275456684328,1.93880778731928,2,"MRC","Null"
"195",9084.17491755861,0.269862349715947,4.15649591486418,1,"MCC","Population Null"
"196",1787.3031595475,1.00208026380717,2.55223218111587,129,"MRC","Population Null"
"197",9114.99447516095,-0.0294074559039794,2.03179796724857,1,"MCC","Null"
"198",6621.29867624081,-0.193701911203044,1.95670874351721,456,"MRC","Null"
"199",9084.96634911139,0.269781493723159,4.1647080158968,1,"MCC","Population Null"
"200",1780.52386252521,1.01007208637839,2.54088765347691,128,"MRC","Population Null"
"201",9103.90370115156,-0.0309700197612955,2.03367104622677,1,"MCC","Null"
